n_shot,seed,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,best_val_f1
16,42,32,32,24977,0.6607278696400689,0.7082289055973267,0.8245592705167173,0.7619796640638167,0.6137459591079008,0.6063891309102514,0.5846145713437345,0.585769653659556,0.6386939127033289,0.6607278696400689,0.6416655543855423,0.717948717948718
16,123,32,32,24977,0.4296352644432878,0.6503000545553737,0.2898480243161094,0.4009755277100328,0.45733809964628713,0.4941214072720195,0.4945780522659473,0.42832667566916893,0.5436631225471131,0.4296352644432878,0.41965056783875554,0.37037037037037035
16,456,32,32,24977,0.5769708131480963,0.7259253570880049,0.5746504559270517,0.6414902280130294,0.6036805919191782,0.5703236153905102,0.578048811873459,0.5628113184787342,0.6196823293861561,0.5769708131480963,0.5877691997391026,0.5333333333333333
16,789,32,32,24977,0.5420186571645914,0.7105993107506094,0.5139209726443769,0.5964652344163404,0.5692764410420966,0.5496421630205647,0.5550723662330598,0.5335267348552291,0.6006996751903667,0.5420186571645914,0.5534915717861129,0.42857142857142855
16,1024,32,32,24977,0.6283380710253433,0.6645543463286954,0.879756838905775,0.7571611688073875,0.5522847290369979,0.5232146731643477,0.5115331632080182,0.48278455813951704,0.5680492902312944,0.6283380710253433,0.5698200662598492,0.6511627906976745
16,2048,32,32,24977,0.6435921047363574,0.7262047470630544,0.7365349544072949,0.7313333735739723,0.6375630243713604,0.6017976587117997,0.6004124285347134,0.6010412408892454,0.6412610594807868,0.6435921047363574,0.642371447369651,0.8
16,3072,32,32,24977,0.5880610161348441,0.7209352363193,0.6110638297872341,0.6614681012075149,0.593162901464791,0.5705455590695648,0.5773742979122637,0.5677362488553805,0.618250944538182,0.5880610161348441,0.5974691017274613,0.5454545454545454
16,4096,32,32,24977,0.6410697842014653,0.7096051526183142,0.7702127659574468,0.7386678326774523,0.6232107844098292,0.589427681616655,0.5810721388131317,0.5828938882219136,0.6275493977053024,0.6410697842014653,0.6323072269704115,0.7027027027027027
16,5120,32,32,24977,0.5908635945069464,0.7207539148302983,0.6183586626139818,0.6656414618983738,0.5949158528443353,0.5714410222163273,0.5780898508332017,0.5693222007031965,0.6188048388548545,0.5908635945069464,0.5998758102819846,0.6857142857142857
16,6144,32,32,24977,0.522160387556552,0.6260539393600982,0.681580547112462,0.6526383189266277,0.4002682842235802,0.44248367596188276,0.44809647737938096,0.44366446244503877,0.500714336045322,0.522160387556552,0.5099534429032054,0.55
100,42,200,200,24641,0.6944523355383304,0.7632481203007518,0.779326864021619,0.7712036952624062,0.711031695391338,0.6575097886932901,0.6542285713815477,0.6557087178602108,0.6915086037302577,0.6944523355383304,0.6928446582018201,0.7477477477477478
100,123,200,200,24641,0.7210340489428189,0.7652831039927814,0.8334356958604594,0.7979067442817663,0.7307104583427815,0.6863758116577021,0.667764623860365,0.6738420281534585,0.7117474474342872,0.7210340489428189,0.7137334589348628,0.6902654867256637
100,456,200,200,24641,0.6729028854348443,0.7575169130543723,0.7427220243213365,0.7500465173975067,0.7018163383642404,0.6373731851200177,0.6398141764147656,0.6384653812627354,0.676003872041161,0.6729028854348443,0.6743428757473665,0.6697674418604651
100,789,200,200,24641,0.660809220405016,0.7293620470070626,0.7737992875568112,0.7509238288234593,0.6434408296859137,0.6147149586195895,0.6072609310137208,0.6097236465750261,0.6515782710376711,0.660809220405016,0.655124768443227,0.6320346320346321
100,1024,200,200,24641,0.6758248447709103,0.7351440235881153,0.7962780985136961,0.7644908308272893,0.6575453891168865,0.6308125542637222,0.6187395995619085,0.6222870712324419,0.6643590106355076,0.6758248447709103,0.6680108806261342,0.6893617021276596
100,2048,200,200,24641,0.72148045939694,0.7391701792697172,0.8939319493919666,0.8092180246295833,0.6896919850207388,0.6951406451904141,0.639752193143166,0.6467759670071052,0.7092977816098094,0.72148045939694,0.6990071436047633,0.7330677290836654
100,3072,200,200,24641,0.7200600624974636,0.7701208981001727,0.8215821152192605,0.7950196125044574,0.7379873465956276,0.6852942545788994,0.6719466982364994,0.6768444191760931,0.7125691824072768,0.7200600624974636,0.7148421488437458,0.7058823529411765
100,4096,200,200,24641,0.6909622174424739,0.7555280382098001,0.7869426360397985,0.770915435757047,0.7007687505384779,0.6519764637807657,0.6454751462290151,0.648097204194838,0.6852721548728982,0.6909622174424739,0.687587843725189,0.6666666666666666
100,5120,200,200,24641,0.6399496773669899,0.6594096893554772,0.9412848544404864,0.7755287926323247,0.5413587641282146,0.4880322213753797,0.4971408121945224,0.4331630435799459,0.5431364654728722,0.6399496773669899,0.5432463936770198,0.6643598615916955
100,6144,200,200,24641,0.7135262367598718,0.7498780818206449,0.849957007738607,0.7967872873305122,0.7047627737228959,0.6774770299177586,0.6488689213833603,0.6557329355181265,0.7007566668735058,0.7135262367598718,0.7010871674652688,0.6812227074235808
