n_shot,num_runs,accuracy,precision,recall,f1_binary,roc_auc,f1_macro,f1_weighted
2,10,0.5225 ± 0.0856,0.6824 ± 0.0307,0.5562 ± 0.2828,0.5656 ± 0.1675,0.5382 ± 0.0324,0.4346 ± 0.0264,0.4826 ± 0.0595
4,10,0.5400 ± 0.0723,0.6800 ± 0.0278,0.5848 ± 0.2309,0.6012 ± 0.1310,0.5363 ± 0.0362,0.4665 ± 0.0453,0.5104 ± 0.0476
8,10,0.5443 ± 0.0630,0.6896 ± 0.0301,0.5680 ± 0.1887,0.6048 ± 0.1139,0.5528 ± 0.0462,0.4927 ± 0.0452,0.5288 ± 0.0504
16,10,0.5916 ± 0.0418,0.7014 ± 0.0263,0.6664 ± 0.0987,0.6806 ± 0.0522,0.5760 ± 0.0497,0.5411 ± 0.0483,0.5865 ± 0.0398
100,10,0.6937 ± 0.0214,0.7494 ± 0.0125,0.8169 ± 0.0386,0.7778 ± 0.0160,0.6925 ± 0.0268,0.6438 ± 0.0189,0.6865 ± 0.0181
