n_shot,seed,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,best_val_f1
2,42,4,4,20220,0.24797230464886252,0.24784674784674784,0.997807891590275,0.39706582077716096,0.5118132216455964,0.31836781836781836,0.4991341786592344,0.19899283154495367,0.3538864426104782,0.24797230464886252,0.09923144072691217,0.6666666666666666
2,123,4,4,20220,0.34876360039564785,0.24720843672456574,0.7941410920685532,0.3770460781530892,0.48284093983144694,0.4976286086061853,0.49794543091784454,0.34741849032511984,0.6237551679752463,0.34876360039564785,0.3324962670590447,0.5
2,456,4,4,20220,0.663946587537092,0.27580116073681554,0.2178158628935831,0.24340273911591137,0.5440257790019343,0.5171833508672699,0.5145124571670915,0.5137036582511754,0.6387578426718468,0.663946587537092,0.6498433496692531,0.0
2,789,4,4,20220,0.24841740850642927,0.24780734354095435,0.9966121960940614,0.39692051271875867,0.40741834198883753,0.4059549538217592,0.4990296870484779,0.19990373119698843,0.4856075385447917,0.24841740850642927,0.10067430968275952,0.6666666666666666
2,1024,4,4,20220,0.751730959446093,0.25,0.00019928258270227183,0.00039824771007566706,0.5777256671404598,0.5009151167392165,0.500000970063881,0.4293312035885067,0.6272909599079692,0.751730959446093,0.6453674658370696,0.0
2,2048,4,4,20220,0.3026211671612265,0.24901906604034263,0.8979673176564368,0.3899104400121144,0.48412285303233316,0.5040389447848772,0.5020358887979592,0.2880469265911556,0.6324821913296023,0.3026211671612265,0.23674237561790906,0.4
2,3072,4,4,20220,0.7518298714144411,0.0,0.0,0.0,0.5015182417366681,0.37591493570722057,0.5,0.42916831347749984,0.5652481555510551,0.7518298714144411,0.6453231158738826,0.0
2,4096,4,4,20220,0.37091988130563797,0.2630153846153846,0.8517337584695097,0.4019183750235095,0.5682762224391087,0.5378049215268359,0.5319713391742364,0.3692254090848822,0.6762053490197251,0.37091988130563797,0.3527592782679198,0.6666666666666666
2,5120,4,4,20220,0.7053412462908012,0.31626270523846756,0.16121960940613791,0.21356916578669483,0.5485092176256517,0.5389772364376009,0.5230844790880184,0.5161382829907184,0.6511495799456114,0.7053412462908012,0.6685301667496589,0.0
2,6144,4,4,20220,0.3157764589515331,0.2486745339490337,0.8692706257473097,0.38671926947116453,0.5189129553289777,0.501903523040213,0.5011726105976385,0.30649648390509177,0.6294447705626942,0.3157764589515331,0.26609149635786705,0.8
4,42,8,8,20212,0.24787255095982585,0.24774685550163414,0.9978061428001596,0.396937480165027,0.5119074408474273,0.31831787219526153,0.4991333648597455,0.19892878214350193,0.35387572070149054,0.24787255095982585,0.0991602990319241,0.6666666666666666
4,123,8,8,20212,0.27379774391450623,0.24659114747220473,0.93777423214998,0.3904991279794037,0.48585035725472037,0.486931937372466,0.4962591387095472,0.2461613250960536,0.6080298299285842,0.27379774391450623,0.17343541056191358,0.7272727272727273
4,456,8,8,20212,0.5871759350880665,0.28034300791556727,0.42381332269644995,0.33746228362712405,0.5507420386229519,0.5258190657057253,0.5324422581372762,0.5188209729310611,0.6495044096862801,0.5871759350880665,0.6102001977416338,0.6666666666666666
4,789,8,8,20212,0.24826835543241638,0.24769505303856448,0.9966094934184284,0.39677624265523265,0.4072502375635364,0.4001633159929665,0.49899562708821144,0.1997664358458626,0.47698583676912076,0.24826835543241638,0.10050125315505391,0.6666666666666666
4,1024,8,8,20212,0.7489610132594499,0.33146067415730335,0.011767052253689668,0.022727272727272728,0.5816266303278311,0.5420655671874667,0.5019685373125271,0.439355234910412,0.6481807576990035,0.7489610132594499,0.6492770223076558,0.0
4,2048,8,8,20212,0.30239461705917275,0.24881123520955434,0.8974870362983646,0.38961038961038963,0.48399155348312006,0.5037205012374829,0.5018765327854477,0.28789552559382964,0.6321379267091221,0.30244409261824656,0.23661044197435502,0.6666666666666666
4,3072,8,8,20212,0.751880071244805,0.0,0.0,0.0,0.5031895296407328,0.37595863638612637,0.49996710093433344,0.4291846705639809,0.5653888141496486,0.751880071244805,0.6454332696646925,0.0
4,4096,8,8,20212,0.4721452602414407,0.27720431802064455,0.7016354208216993,0.39740186388025983,0.5803997786327248,0.539147299284222,0.5490345810517234,0.4638974634776095,0.6711296524006021,0.4721452602414407,0.4974018760196346,0.6666666666666666
4,5120,8,8,20212,0.7088363348505838,0.3207081103334706,0.155364978061428,0.2093241972322988,0.5548827213267254,0.5412796582708235,0.5233990306809311,0.5154440639901526,0.6524166384901982,0.7088363348505838,0.6696853425900924,0.4
4,6144,8,8,20212,0.3157530180091035,0.2485740360483687,0.8691663342640606,0.386587421272066,0.5189451507092157,0.5018989583226918,0.5011708760410973,0.3065054792902449,0.629539024048088,0.3157530180091035,0.2661554645889354,0.6666666666666666
8,42,16,16,20196,0.2974351356704298,0.2521725049927133,0.9332800639232921,0.3970594484341138,0.5517005991756567,0.526026336378921,0.510583415766781,0.2777159155688571,0.6641193953429307,0.2974351356704298,0.21753595227415648,0.6956521739130435
8,123,16,16,20196,0.273767082590612,0.24647037211987613,0.9380743108270075,0.3903736647408454,0.48605301682747004,0.4876271370660623,0.49645651025221343,0.24618787320799082,0.6092324299068209,0.273767082590612,0.17348099556040758,0.6086956521739131
8,456,16,16,20196,0.5582788671023965,0.2798335395343606,0.49700359568517777,0.35806289127149743,0.5578899198512806,0.5285501178432528,0.5377381375397581,0.5106789262924764,0.6539675090839816,0.5582788671023965,0.5876368239283275,0.8
8,789,16,16,20196,0.25252525252525254,0.24294303474982165,0.9524570515381542,0.3871386813900617,0.4198665156782236,0.4126995875503494,0.4871567680337249,0.21463533054274658,0.4983007330108651,0.25252525252525254,0.12764908945396378,0.6956521739130435
8,1024,16,16,20196,0.7073677956030897,0.34983388704318935,0.2103475829005194,0.26272455089820357,0.5844899681935332,0.5599105429630005,0.5407564115950918,0.5400909633660773,0.665843433826902,0.7073677956030897,0.6799552703859241,0.5
8,2048,16,16,20196,0.4622697563874034,0.2675508259212198,0.6729924091090691,0.38288441868394135,0.5421336134623969,0.5261346975476693,0.5329083177869243,0.4532216249776643,0.6565277530360711,0.4622697563874034,0.48868974286711137,0.7058823529411765
8,3072,16,16,20196,0.7519310754604872,0.0,0.0,0.0,0.5013893531843421,0.37604001584786056,0.4998683344305464,0.42920128879091063,0.5656613033005548,0.7519310754604872,0.6456295877137981,0.0
