n_shot,num_runs,accuracy,precision,recall,f1_binary,roc_auc,f1_macro,f1_weighted
2,10,0.4634 ± 0.1928,0.2537 ± 0.0097,0.5986 ± 0.3738,0.3006 ± 0.1327,0.5200 ± 0.0292,0.3604 ± 0.0916,0.4037 ± 0.2011
4,10,0.4572 ± 0.1893,0.2647 ± 0.0249,0.6242 ± 0.3558,0.3162 ± 0.1259,0.5237 ± 0.0326,0.3610 ± 0.1077,0.3974 ± 0.2126
8,10,0.4632 ± 0.1629,0.2672 ± 0.0282,0.6455 ± 0.2840,0.3536 ± 0.0531,0.5375 ± 0.0292,0.3944 ± 0.0992,0.4307 ± 0.1829
16,10,0.4316 ± 0.1426,0.2672 ± 0.0209,0.7189 ± 0.2261,0.3773 ± 0.0330,0.5378 ± 0.0329,0.3819 ± 0.0997,0.4024 ± 0.1757
100,10,0.6194 ± 0.0268,0.3589 ± 0.0142,0.7111 ± 0.0303,0.4757 ± 0.0090,0.7122 ± 0.0127,0.5879 ± 0.0179,0.6455 ± 0.0252
