n_shot,seed,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,best_val_f1
2,42,4,4,25033,0.6544161706547358,0.6576308051717887,0.9908362665372011,0.7905580438203608,0.5793596640800276,0.4623105482169623,0.49863262771629197,0.40155684407659975,0.5241298425825234,0.6544161706547358,0.5246765862397371,0.6666666666666666
2,123,4,4,25033,0.43494587144968644,0.6753344355929656,0.2726665857506979,0.3884829881976568,0.49741677424919994,0.5116334854787461,0.5100913291114682,0.43166492086697394,0.5634451991269289,0.43494587144968644,0.4179977434396181,0.6666666666666666
2,456,4,4,25033,0.3991531178843926,0.7342680143462668,0.1366670712465105,0.230442568431824,0.5231315558161639,0.5433153783831852,0.5207005724438281,0.36881716901654105,0.6037523110215225,0.3991531178843926,0.3250213011448232,0.6666666666666666
2,789,4,4,25033,0.544321495625774,0.7185587449357814,0.5058866367277582,0.5937533387941166,0.59571548526633,0.5561971806870688,0.5621192388781983,0.5374733856384737,0.6075849757393018,0.544321495625774,0.5552861155890253,0.0
2,1024,4,4,25033,0.5748012623337195,0.6629791038104816,0.7201116640368976,0.6903653711892017,0.5247089312856722,0.5082940368386676,0.5075134591370929,0.5059857448680234,0.5572522034834038,0.5748012623337195,0.564342305381853,0.8
2,2048,4,4,25033,0.542683657572005,0.6876865671641791,0.5592304891370312,0.6168418234152219,0.5468508460246909,0.5316710150357129,0.5350214397759966,0.524886138575057,0.5810502831823129,0.542683657572005,0.5539903166994778,1.0
2,3072,4,4,25033,0.5004194463308432,0.7564566115702479,0.3555043087753368,0.48369251094046734,0.6322328075852548,0.5710966035467064,0.5675242175086503,0.4998945452086643,0.6297634570429121,0.5004194463308432,0.49476656544167974,0.0
2,4096,4,4,25033,0.6245755602604562,0.6575854700854701,0.8964680179633451,0.758666735144574,0.5519037763473165,0.49675692344289074,0.49867234913363045,0.45691337476394467,0.54765951502397,0.6245755602604562,0.5524189823337815,0.8
2,5120,4,4,25033,0.6275316582111613,0.6538362291415792,0.9226241048670956,0.765315882204883,0.49521630562230967,0.4689731398374937,0.49088540135230874,0.43161304946157464,0.5274827174572864,0.6275316582111613,0.5372307358685268,0.8
2,6144,4,4,25033,0.4247992649702393,0.5825852069595614,0.4450175992232067,0.5045931532771375,0.37626910442692874,0.42390549115453563,0.4154369118266823,0.409479567924698,0.4741279730114133,0.4247992649702393,0.4395832285625511,0.4
4,42,8,8,25025,0.6544655344655345,0.6576816148918168,0.9908340415199709,0.7905940474172378,0.5794185994162214,0.46233595307697634,0.49863301888885925,0.40157771344254606,0.5241830531192933,0.6544655344655345,0.5247416061131347,0.6666666666666666
4,123,8,8,25025,0.37634365634365635,0.6220095693779905,0.13415078305208206,0.2207020522294902,0.40960115944173847,0.4788512824535258,0.48854656448826767,0.35043362945218637,0.5241756823457349,0.37634365634365635,0.3093601714567649,0.4
4,456,8,8,25025,0.4333666333666334,0.7327516233766234,0.21919388126745173,0.3374450985889169,0.5370184927754315,0.5463529226999054,0.5325884036205111,0.42123581374572905,0.6053673844566142,0.4333666333666334,0.3947073887232546,0.5714285714285714
4,789,8,8,25025,0.5034965034965035,0.7065605550454035,0.42035935413378656,0.527117031398668,0.5508527756398998,0.5396636196141363,0.5420122112734188,0.5022546250579039,0.5925037562543732,0.5034965034965035,0.5101261473531237,0.5714285714285714
4,1024,8,8,25025,0.6098701298701299,0.6763731931668857,0.7811096272914896,0.7249781683991098,0.5559563442886376,0.5376865965834429,0.5305384412916342,0.527013859129113,0.5815952441251259,0.6098701298701299,0.5896900318502393,0.8888888888888888
4,2048,8,8,25025,0.5053346653346653,0.6991150442477876,0.4363846060458905,0.5373547109167695,0.548593534026117,0.5346409572073288,0.53727779010048,0.5029537475074982,0.5867140118175808,0.5053346653346653,0.5138452093693027,0.75
4,3072,8,8,25025,0.38005994005994004,0.7699662542182227,0.08310064343814495,0.1500109577032654,0.5629146480265441,0.5601024973504328,0.5176349901789018,0.3310593187157751,0.6265460755987246,0.38005994005994004,0.27373879266973655,0.4
4,4096,8,8,25025,0.6378821178821179,0.6564637338512201,0.943850916595848,0.7743525896414343,0.541188954511794,0.4828248467613083,0.496133153304356,0.4290367599369962,0.5377995081964081,0.6378821178821179,0.5383649245223414,0.6
