n_shot,num_runs,accuracy,precision,recall,f1_binary,roc_auc,f1_macro,f1_weighted
2,10,0.5343 ± 0.0722,0.6810 ± 0.0285,0.5847 ± 0.2253,0.6002 ± 0.1267,0.5393 ± 0.0339,0.4577 ± 0.0440,0.5095 ± 0.0505
4,10,0.5194 ± 0.0965,0.6786 ± 0.0322,0.5378 ± 0.2844,0.5520 ± 0.1889,0.5342 ± 0.0480,0.4421 ± 0.0551,0.4785 ± 0.0844
8,10,0.5540 ± 0.0763,0.6857 ± 0.0322,0.6102 ± 0.2279,0.6222 ± 0.1183,0.5556 ± 0.0489,0.4807 ± 0.0445,0.5266 ± 0.0432
16,10,0.6048 ± 0.0518,0.6957 ± 0.0273,0.7075 ± 0.1052,0.6999 ± 0.0562,0.5787 ± 0.0527,0.5336 ± 0.0603,0.5873 ± 0.0467
100,10,0.6920 ± 0.0176,0.7485 ± 0.0145,0.8143 ± 0.0473,0.7770 ± 0.0161,0.6906 ± 0.0231,0.6409 ± 0.0160,0.6838 ± 0.0146
