n_shot,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
2,4,4,20096,0.5469247611464968,0.5469247611464968,1.0,0.7071122977450381,0.4779193160436643,0.2734623805732484,0.5,0.35355614887251907,0.2991266943551526,0.5469247611464968,0.3867372245479555
4,8,8,20088,0.4612206292313819,0.5578279266572638,0.07199417493401293,0.1275292220878678,0.5134549539607831,0.5058555808969233,0.5015503233751484,0.36890306482665686,0.5107351032039723,0.4612206292313819,0.34624122355797127
8,16,16,20072,0.4350338780390594,0.4564114948080174,0.1721468257582658,0.25,0.3984998825076681,0.44294430744418195,0.4622968814813544,0.3984175191815857,0.4442097077714136,0.4350338780390594,0.38447195116761246
16,32,32,20040,0.5470558882235529,0.5470558882235529,1.0,0.7072218817533787,0.45664427095210663,0.27352794411177644,0.5,0.3536109408766894,0.29927014484006037,0.5470558882235529,0.38688989469372714
100,200,200,19704,0.6268270401948843,0.6276895681851907,0.7836961556276054,0.6970708194289952,0.6928542265990265,0.6263247069965465,0.6102227551064281,0.6056216336986403,0.6264553468768644,0.6268270401948843,0.6143748393567529
