epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_auc
1,0.70379638671875,0.5,0.3333333333333333,0.5,0.0,0.296875
2,0.7103271484375,0.4375,0.18181818181818182,0.5,0.0,0.296875
3,0.687042236328125,0.4375,0.3076923076923077,0.5,0.0,0.296875
4,0.6483612060546875,0.6875,0.5454545454545454,0.5,0.0,0.296875
5,0.69171142578125,0.5625,0.5333333333333333,0.5,0.0,0.296875
6,0.715484619140625,0.5,0.3333333333333333,0.5,0.0,0.296875
7,0.72021484375,0.4375,0.4,0.5,0.0,0.2890625
8,0.70263671875,0.5,0.42857142857142855,0.5,0.0,0.2890625
9,0.69659423828125,0.4375,0.4,0.5,0.0,0.2890625
10,0.705474853515625,0.5,0.2,0.5,0.0,0.2890625
11,0.672210693359375,0.6875,0.6666666666666666,0.5,0.0,0.2890625
12,0.69610595703125,0.5625,0.46153846153846156,0.5,0.0,0.296875
13,0.6937255859375,0.5,0.3333333333333333,0.5,0.0,0.2890625
14,0.722442626953125,0.375,0.0,0.5,0.0,0.2890625
15,0.6939697265625,0.5,0.2,0.5,0.0,0.2890625
16,0.68646240234375,0.5,0.3333333333333333,0.5,0.0,0.2890625
17,0.66094970703125,0.5625,0.36363636363636365,0.5,0.0,0.2890625
18,0.692138671875,0.5625,0.46153846153846156,0.5,0.0,0.2890625
19,0.6854248046875,0.5625,0.36363636363636365,0.5,0.0,0.2890625
20,0.686309814453125,0.625,0.5714285714285714,0.5,0.0,0.2890625
21,0.682586669921875,0.625,0.4,0.5,0.0,0.2890625
22,0.68988037109375,0.4375,0.3076923076923077,0.5,0.0,0.2890625
23,0.71697998046875,0.3125,0.0,0.5,0.0,0.28125
24,0.685302734375,0.625,0.5,0.5,0.0,0.296875
25,0.6917724609375,0.5625,0.5333333333333333,0.5,0.0,0.28125
26,0.699371337890625,0.3125,0.0,0.5,0.0,0.28125
27,0.68646240234375,0.5,0.5,0.5,0.0,0.2890625
28,0.72113037109375,0.25,0.25,0.5,0.0,0.28125
29,0.7113037109375,0.375,0.16666666666666666,0.5,0.0,0.2890625
30,0.6491851806640625,0.6875,0.6666666666666666,0.5,0.0,0.28125
31,0.6954345703125,0.625,0.5,0.5,0.0,0.296875
32,0.736083984375,0.4375,0.4,0.5,0.0,0.2890625
33,0.709197998046875,0.375,0.16666666666666666,0.5,0.0,0.296875
34,0.709228515625,0.625,0.5714285714285714,0.5,0.0,0.296875
35,0.6864013671875,0.5625,0.46153846153846156,0.5,0.0,0.296875
36,0.65582275390625,0.6875,0.6153846153846154,0.5,0.0,0.2890625
37,0.6983642578125,0.5,0.3333333333333333,0.5,0.0,0.3046875
38,0.703369140625,0.4375,0.4,0.5,0.0,0.296875
39,0.713165283203125,0.5625,0.36363636363636365,0.5,0.0,0.296875
40,0.6978302001953125,0.5,0.42857142857142855,0.5,0.0,0.3046875
41,0.711669921875,0.4375,0.3076923076923077,0.5,0.0,0.3046875
42,0.70263671875,0.375,0.375,0.5,0.0,0.296875
43,0.697296142578125,0.4375,0.3076923076923077,0.5,0.0,0.3046875
44,0.69525146484375,0.4375,0.4,0.5,0.0,0.3046875
45,0.69854736328125,0.5625,0.36363636363636365,0.5,0.0,0.3046875
46,0.680816650390625,0.625,0.5,0.5,0.0,0.3046875
47,0.6959228515625,0.5,0.2,0.5,0.0,0.3125
48,0.704742431640625,0.375,0.2857142857142857,0.5,0.0,0.3046875
49,0.68255615234375,0.625,0.5714285714285714,0.5,0.0,0.3125
50,0.700958251953125,0.4375,0.3076923076923077,0.5,0.0,0.3125
51,0.682373046875,0.5,0.42857142857142855,0.5,0.0,0.3125
52,0.70489501953125,0.375,0.375,0.5,0.0,0.3046875
53,0.708770751953125,0.4375,0.47058823529411764,0.5,0.0,0.3125
54,0.6898193359375,0.5625,0.5333333333333333,0.5,0.0,0.3125
55,0.702880859375,0.375,0.0,0.5,0.0,0.3046875
56,0.685272216796875,0.625,0.5,0.5,0.0,0.3125
57,0.67132568359375,0.6875,0.7368421052631579,0.5,0.0,0.3125
58,0.683258056640625,0.625,0.625,0.5,0.0,0.3046875
59,0.679168701171875,0.4375,0.4,0.5,0.0,0.3125
60,0.697418212890625,0.5625,0.36363636363636365,0.5,0.0,0.3046875
61,0.715606689453125,0.4375,0.18181818181818182,0.5,0.0,0.3046875
62,0.68017578125,0.5625,0.36363636363636365,0.5,0.0,0.3125
63,0.706024169921875,0.375,0.4444444444444444,0.5,0.0,0.3125
64,0.71124267578125,0.4375,0.4,0.5,0.0,0.3125
65,0.693115234375,0.5625,0.46153846153846156,0.5,0.0,0.3046875
66,0.66802978515625,0.625,0.625,0.5,0.0,0.3125
67,0.6649932861328125,0.5625,0.36363636363636365,0.5,0.0,0.3125
68,0.69171142578125,0.4375,0.4,0.5,0.0,0.3125
69,0.68670654296875,0.5625,0.36363636363636365,0.5,0.0,0.3125
70,0.7166748046875,0.3125,0.15384615384615385,0.5,0.0,0.3125
71,0.693145751953125,0.5,0.42857142857142855,0.5,0.0,0.3125
72,0.6881103515625,0.625,0.625,0.5,0.0,0.3125
73,0.6893310546875,0.5,0.5,0.5,0.0,0.3125
74,0.716583251953125,0.375,0.2857142857142857,0.5,0.0,0.3125
75,0.6953125,0.5,0.5,0.5,0.0,0.3125
76,0.70843505859375,0.4375,0.47058823529411764,0.5,0.0,0.3125
77,0.70428466796875,0.625,0.5714285714285714,0.5,0.0,0.3125
78,0.69317626953125,0.375,0.2857142857142857,0.5,0.0,0.3125
79,0.696197509765625,0.625,0.5714285714285714,0.5,0.0,0.3125
80,0.695556640625,0.5,0.42857142857142855,0.5,0.0,0.3125
81,0.698944091796875,0.5625,0.46153846153846156,0.5,0.0,0.3125
82,0.67706298828125,0.5,0.3333333333333333,0.5,0.0,0.3125
83,0.674407958984375,0.625,0.5714285714285714,0.5,0.0,0.3125
84,0.6893310546875,0.5625,0.5882352941176471,0.5,0.0,0.3125
85,0.683807373046875,0.625,0.625,0.5,0.0,0.3125
86,0.728240966796875,0.375,0.2857142857142857,0.5,0.0,0.3125
87,0.693359375,0.6875,0.6666666666666666,0.5,0.0,0.3125
88,0.6734771728515625,0.5625,0.36363636363636365,0.5,0.0,0.3125
89,0.703338623046875,0.4375,0.3076923076923077,0.5,0.0,0.3125
90,0.6783447265625,0.5625,0.5882352941176471,0.5,0.0,0.3125
91,0.64923095703125,0.6875,0.6153846153846154,0.5,0.0,0.3046875
92,0.681488037109375,0.625,0.5,0.5,0.0,0.3046875
93,0.7349853515625,0.1875,0.23529411764705882,0.5,0.0,0.3125
94,0.690155029296875,0.6875,0.6153846153846154,0.5,0.0,0.3125
95,0.686126708984375,0.625,0.625,0.4375,0.0,0.3046875
96,0.697296142578125,0.4375,0.4,0.4375,0.0,0.3046875
97,0.70068359375,0.4375,0.4,0.4375,0.0,0.3203125
98,0.689788818359375,0.5625,0.5333333333333333,0.4375,0.0,0.3125
99,0.664459228515625,0.6875,0.6666666666666666,0.4375,0.0,0.3125
100,0.7052001953125,0.5,0.3333333333333333,0.5,0.2,0.3046875
