epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_auc
1,0.7197298322405133,0.5,0.6666666666666666,0.5,0.6666666666666666,0.4712
2,0.7141527448381696,0.505,0.6688963210702341,0.5,0.6666666666666666,0.46885
3,0.7087925502232143,0.505,0.6688963210702341,0.5,0.6666666666666666,0.47105
4,0.7028416224888393,0.5,0.6666666666666666,0.5,0.6666666666666666,0.47130000000000005
5,0.7005691528320312,0.505,0.6666666666666666,0.5,0.6666666666666666,0.4726
6,0.7022585187639508,0.5,0.6644295302013423,0.5,0.6666666666666666,0.474
7,0.7100121634347099,0.495,0.6622073578595318,0.5,0.6666666666666666,0.47619999999999996
8,0.703643798828125,0.5,0.6644295302013423,0.5,0.6666666666666666,0.4809
9,0.704423086983817,0.5,0.6644295302013423,0.5,0.6666666666666666,0.4823500000000001
10,0.69775390625,0.51,0.668918918918919,0.5,0.6666666666666666,0.48655000000000004
11,0.7117113385881696,0.47,0.6344827586206897,0.5,0.6666666666666666,0.49165000000000003
12,0.6924482073102679,0.495,0.6505190311418685,0.5,0.6666666666666666,0.49820000000000003
13,0.6957506452287946,0.475,0.6341463414634146,0.5,0.6666666666666666,0.50785
14,0.6895533970424107,0.545,0.6738351254480287,0.5,0.6666666666666666,0.51715
15,0.6928580147879464,0.515,0.6420664206642066,0.5,0.6666666666666666,0.5294500000000001
16,0.6893201555524554,0.54,0.6461538461538462,0.5,0.6666666666666666,0.5386500000000001
17,0.6940678187779018,0.515,0.6283524904214559,0.5,0.6666666666666666,0.549
18,0.6973244803292411,0.52,0.6097560975609756,0.495,0.6622073578595318,0.5624500000000001
19,0.6874498639787946,0.56,0.6239316239316239,0.505,0.6666666666666666,0.5807500000000001
20,0.6970759800502232,0.49,0.575,0.51,0.6620689655172414,0.59405
21,0.6993375505719867,0.485,0.5654008438818565,0.54,0.676056338028169,0.6081000000000001
22,0.7081996372767857,0.47,0.5181818181818182,0.565,0.6533864541832669,0.6266
23,0.6991751534598214,0.48,0.49019607843137253,0.57,0.6504065040650406,0.6414500000000001
24,0.6987173897879464,0.53,0.5523809523809524,0.565,0.6588235294117647,0.6541500000000001
25,0.6946498325892857,0.51,0.5333333333333333,0.57,0.6587301587301587,0.6667000000000001
26,0.6916939871651786,0.53,0.5803571428571429,0.585,0.6666666666666666,0.6767
27,0.6839523315429688,0.54,0.5855855855855856,0.585,0.6719367588932806,0.6853
28,0.6848220825195312,0.565,0.5915492957746479,0.59,0.672,0.6900000000000001
29,0.6868089948381696,0.55,0.5833333333333334,0.64,0.6923076923076923,0.6959500000000001
30,0.6968307495117188,0.545,0.5560975609756098,0.625,0.6753246753246753,0.70435
31,0.6925223214285714,0.52,0.5384615384615384,0.635,0.694560669456067,0.70995
32,0.6896798270089286,0.535,0.5550239234449761,0.665,0.6995515695067265,0.7188000000000001
33,0.6900198800223214,0.48,0.5185185185185185,0.67,0.7053571428571429,0.7236
34,0.6829092843191964,0.545,0.5645933014354066,0.67,0.7079646017699115,0.7272000000000001
35,0.676605224609375,0.6,0.5833333333333334,0.69,0.7129629629629629,0.73065
36,0.6750357491629464,0.63,0.6105263157894737,0.695,0.6871794871794872,0.7333
