epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_auc
1,0.80029296875,0.25,0.4,0.5,0.6666666666666666,0.25
2,0.7208251953125,0.25,0.4,0.5,0.6666666666666666,0.25
3,0.680419921875,0.25,0.4,0.5,0.6666666666666666,0.25
4,0.743408203125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
5,0.7728271484375,0.25,0.4,0.5,0.6666666666666666,0.25
6,0.70166015625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
7,0.62353515625,0.75,0.8,0.5,0.6666666666666666,0.25
8,0.72802734375,0.25,0.4,0.5,0.6666666666666666,0.25
9,0.707275390625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
10,0.6971435546875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
11,0.7154541015625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
12,0.66815185546875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
13,0.718994140625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
14,0.6708984375,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
15,0.70263671875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
16,0.7003173828125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
17,0.6951904296875,0.25,0.4,0.5,0.6666666666666666,0.25
18,0.6593017578125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
19,0.6611328125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
20,0.6400146484375,0.75,0.8,0.5,0.6666666666666666,0.25
21,0.731201171875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
22,0.7034912109375,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
23,0.6689453125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
24,0.654541015625,0.75,0.8,0.5,0.6666666666666666,0.25
25,0.6817626953125,0.75,0.8,0.5,0.6666666666666666,0.25
26,0.6707763671875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
27,0.7352294921875,0.25,0.4,0.5,0.6666666666666666,0.25
28,0.67041015625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
29,0.6414794921875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
30,0.68408203125,0.25,0.4,0.5,0.6666666666666666,0.25
31,0.645751953125,0.75,0.8,0.5,0.6666666666666666,0.25
32,0.6767578125,0.5,0.5,0.5,0.6666666666666666,0.25
33,0.7301025390625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
34,0.716796875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
35,0.6649169921875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
36,0.653076171875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
37,0.73876953125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
38,0.6785888671875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
39,0.70703125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
40,0.6956787109375,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
41,0.678955078125,0.75,0.8,0.5,0.6666666666666666,0.25
42,0.711181640625,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
43,0.6943359375,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
44,0.694091796875,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
45,0.737548828125,0.25,0.4,0.5,0.6666666666666666,0.25
46,0.64923095703125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
47,0.655517578125,0.75,0.8,0.5,0.6666666666666666,0.25
48,0.70361328125,0.5,0.6666666666666666,0.5,0.6666666666666666,0.25
49,0.712158203125,0.25,0.4,0.5,0.6666666666666666,0.25
50,0.689208984375,0.5,0.5,0.5,0.6666666666666666,0.25
