epoch,train_loss,train_acc,train_f1,val_acc,val_f1,val_auc
1,0.7098181588309151,0.49,0.6506849315068494,0.5,0.6666666666666666,0.49050000000000005
2,0.7120895385742188,0.505,0.6666666666666666,0.5,0.6666666666666666,0.48935
3,0.699204581124442,0.505,0.6621160409556314,0.5,0.6666666666666666,0.4914
4,0.6990171160016742,0.5,0.6551724137931034,0.5,0.6666666666666666,0.4928
5,0.6940580095563617,0.505,0.6621160409556314,0.5,0.6666666666666666,0.4926
6,0.6947174072265625,0.48,0.6438356164383562,0.5,0.6666666666666666,0.49445
7,0.7050247192382812,0.495,0.6529209621993127,0.5,0.6666666666666666,0.4966
8,0.6948928833007812,0.52,0.6712328767123288,0.5,0.6666666666666666,0.49729999999999996
9,0.7030018397739956,0.505,0.6621160409556314,0.5,0.6666666666666666,0.4993
10,0.6924307686941964,0.51,0.6597222222222222,0.5,0.6666666666666666,0.502
11,0.7036045619419643,0.495,0.6505190311418685,0.5,0.6666666666666666,0.5054000000000001
12,0.6943479265485492,0.48,0.6285714285714286,0.5,0.6666666666666666,0.5109
13,0.6961615426199776,0.475,0.6341463414634146,0.5,0.6666666666666666,0.5177499999999999
14,0.6892950875418526,0.545,0.6642066420664207,0.5,0.6666666666666666,0.52555
15,0.6885168892996651,0.49,0.6222222222222222,0.5,0.6666666666666666,0.53175
16,0.6877005440848214,0.555,0.6590038314176245,0.5,0.6666666666666666,0.5364499999999999
17,0.6956002371651786,0.475,0.5945945945945946,0.5,0.6666666666666666,0.5428999999999999
18,0.7005179268973214,0.5,0.6062992125984252,0.5,0.6644295302013423,0.5487000000000001
19,0.6890182495117188,0.505,0.5991902834008097,0.505,0.6666666666666666,0.5580499999999999
20,0.6964678083147321,0.48,0.584,0.525,0.6735395189003437,0.5676000000000001
21,0.7002672467912946,0.51,0.608,0.525,0.6689895470383276,0.5755999999999999
22,0.7055249895368304,0.455,0.5281385281385281,0.54,0.6690647482014388,0.58175
23,0.6996808733258929,0.475,0.5116279069767442,0.54,0.6642335766423357,0.58725
24,0.6925027029854911,0.54,0.5929203539823009,0.535,0.6618181818181819,0.594
25,0.6899708339146206,0.515,0.5650224215246636,0.54,0.6592592592592592,0.60165
26,0.685746329171317,0.545,0.6026200873362445,0.555,0.6641509433962264,0.6093500000000001
27,0.6796744210379464,0.54,0.5929203539823009,0.54,0.6515151515151515,0.6174
28,0.6848199026925224,0.55,0.5909090909090909,0.545,0.6539923954372624,0.62335
29,0.6820656912667411,0.585,0.6244343891402715,0.575,0.6640316205533597,0.6287499999999999
30,0.6955936976841518,0.55,0.5945945945945946,0.58,0.6666666666666666,0.6332
31,0.6889059884207589,0.515,0.5610859728506787,0.585,0.6719367588932806,0.6409
32,0.6828068324497768,0.565,0.6063348416289592,0.6,0.6774193548387096,0.6456500000000001
33,0.6819915771484375,0.57,0.6194690265486725,0.615,0.6857142857142857,0.64955
34,0.6771959577287946,0.58,0.6,0.61,0.680327868852459,0.6531
35,0.6707087925502232,0.615,0.624390243902439,0.615,0.6831275720164609,0.65665
36,0.6663480486188617,0.64,0.6363636363636364,0.62,0.680672268907563,0.661
37,0.679351806640625,0.575,0.5771144278606966,0.625,0.6887966804979253,0.6638
38,0.6785812377929688,0.68,0.6923076923076923,0.625,0.6781115879828327,0.66835
39,0.6739937918526786,0.65,0.6534653465346535,0.625,0.6666666666666666,0.6725000000000002
40,0.6633257184709821,0.665,0.6824644549763034,0.625,0.6887966804979253,0.6755000000000001
41,0.6655567714146206,0.64,0.6756756756756757,0.605,0.6827309236947792,0.6781999999999999
42,0.6761376517159599,0.59,0.646551724137931,0.59,0.6746031746031746,0.67995
43,0.6675360543387276,0.64,0.6896551724137931,0.58,0.671875,0.6821
44,0.672501700265067,0.64,0.6666666666666666,0.61,0.6829268292682927,0.68295
45,0.6526478358677456,0.695,0.7162790697674418,0.63,0.6810344827586207,0.68635
46,0.6630837576729911,0.62,0.62,0.635,0.6604651162790698,0.689
47,0.6547742571149554,0.71,0.7040816326530612,0.66,0.6936936936936937,0.6910499999999999
48,0.6648221697126117,0.645,0.6570048309178744,0.6,0.6721311475409836,0.6909000000000001
49,0.6531339372907367,0.725,0.7555555555555555,0.6,0.6747967479674797,0.69185
50,0.6519066946847099,0.655,0.676056338028169,0.63,0.6837606837606838,0.6920999999999999
51,0.6578707013811383,0.665,0.6854460093896714,0.655,0.684931506849315,0.69285
52,0.6480985369001117,0.69,0.696078431372549,0.655,0.6790697674418604,0.6933500000000001
53,0.6541617257254464,0.67,0.65625,0.645,0.6757990867579908,0.6930499999999999
54,0.6618870326450893,0.64,0.6538461538461539,0.64,0.6869565217391305,0.6937
55,0.6514347621372768,0.695,0.7188940092165899,0.635,0.6812227074235808,0.6951499999999999
56,0.6517017909458706,0.745,0.7536231884057971,0.645,0.6872246696035242,0.6952500000000001
57,0.6413988385881696,0.695,0.7081339712918661,0.64,0.6756756756756757,0.6954499999999999
58,0.6399852207728794,0.745,0.7411167512690355,0.65,0.6759259259259259,0.6962499999999999
59,0.6445901053292411,0.68,0.6862745098039216,0.65,0.6818181818181818,0.69695
60,0.6263220650809151,0.76,0.7551020408163265,0.65,0.6759259259259259,0.6983999999999999
61,0.6325389317103794,0.73,0.7352941176470589,0.645,0.6728110599078341,0.69825
62,0.6291384015764508,0.725,0.7208121827411168,0.645,0.6697674418604651,0.69815
63,0.6124899727957589,0.755,0.7487179487179487,0.625,0.6696035242290749,0.69635
64,0.6388070242745536,0.715,0.7323943661971831,0.625,0.6781115879828327,0.6963
65,0.631683349609375,0.745,0.7671232876712328,0.615,0.6666666666666666,0.69615
66,0.6178686959402901,0.745,0.7536231884057971,0.62,0.6695652173913044,0.6964000000000001
67,0.6128910609654018,0.735,0.7557603686635944,0.615,0.6695278969957081,0.6964
68,0.6132550920758929,0.72,0.7407407407407407,0.625,0.6666666666666666,0.6978500000000001
69,0.6015189034598214,0.81,0.8080808080808081,0.65,0.6698113207547169,0.69825
70,0.6022872924804688,0.795,0.8,0.65,0.6728971962616822,0.69875
71,0.5890492030552456,0.795,0.7939698492462312,0.64,0.6697247706422018,0.6979
72,0.6019919259207589,0.805,0.8115942028985508,0.625,0.6724890829694323,0.69815
73,0.5958524431501117,0.78,0.7962962962962963,0.625,0.6753246753246753,0.6972
74,0.6037608555385044,0.78,0.7981651376146789,0.63,0.6810344827586207,0.6969000000000001
75,0.5804879324776786,0.775,0.7867298578199052,0.625,0.6636771300448431,0.6971499999999999
76,0.570967538016183,0.825,0.8341232227488151,0.625,0.6666666666666666,0.6978
77,0.5647577558244977,0.82,0.8285714285714286,0.64,0.6727272727272727,0.6987
78,0.5550422668457031,0.83,0.8349514563106796,0.65,0.6788990825688074,0.69935
79,0.5536613464355469,0.795,0.7980295566502463,0.66,0.6851851851851852,0.6989000000000001
80,0.564157213483538,0.79,0.7941176470588235,0.645,0.6757990867579908,0.6984000000000001
81,0.5585506984165737,0.78,0.7864077669902912,0.65,0.6788990825688074,0.6988000000000001
82,0.5469867161342076,0.81,0.81,0.65,0.6788990825688074,0.6984
83,0.5543082101004464,0.81,0.8118811881188119,0.64,0.6727272727272727,0.6993
84,0.5209775652204242,0.82,0.8301886792452831,0.64,0.6727272727272727,0.6998
85,0.534712655203683,0.83,0.8349514563106796,0.64,0.6727272727272727,0.70085
86,0.5323840550013951,0.795,0.8019323671497585,0.64,0.6727272727272727,0.7010500000000001
87,0.5547948564801898,0.775,0.784688995215311,0.64,0.6727272727272727,0.7022
88,0.5221176147460938,0.805,0.8059701492537313,0.64,0.6727272727272727,0.70225
