n_shot,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
2,4,4,20220,0.24812067260138476,0.2480332492207214,0.9990035870864886,0.3973998176701415,0.5152857422789863,0.3462388468325829,0.49963335517987106,0.19896287642431537,0.3957010528701298,0.24812067260138476,0.09901817762869257
4,8,8,20212,0.5598159509202454,0.23194808780891896,0.3350618268847228,0.2741290691033695,0.4902765676293246,0.4874367626954225,0.4845134111394268,0.4791314923391665,0.6161670548507834,0.5598159509202454,0.5824238274981491
8,16,16,20196,0.4871756783521489,0.2525663553130491,0.5455453455852977,0.3452809912130982,0.511371101222312,0.5050532938240616,0.5067423897116745,0.4619010661514561,0.632371920373683,0.4871756783521489,0.520707703266342
16,32,32,20164,0.24747073993255306,0.24747073993255306,1.0,0.396755983143834,0.5049938218337294,0.12373536996627653,0.5,0.198377991571917,0.061241767122765314,0.24747073993255306,0.09818549672127215
100,200,200,19828,0.6069699414968731,0.3568744580402736,0.7681459975114061,0.48733635945003617,0.7343606522550665,0.6192775295810427,0.6616619631699374,0.5843347100869073,0.7540522360855411,0.6069699414968731,0.6341547223365489
