n_shot,seed,train_size,val_size,test_size,accuracy,precision_binary,recall_binary,f1_binary,roc_auc,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,best_val_f1
2,42,4,4,25033,0.6542563815763193,0.6576010314678271,0.9904721446777521,0.7904206116667071,0.5788897780502406,0.4619780858273715,0.49856745749375625,0.4017104768904866,0.5238931818330171,0.6542563815763193,0.524738096346085,0.6666666666666666
2,123,4,4,25033,0.4133743458634602,0.6700815784481123,0.2143464012622891,0.32479654236976413,0.5019611469987542,0.5074929701774009,0.5055367307305016,0.4031017355349191,0.5589526251659699,0.4133743458634602,0.3783179682897818,0.0
2,456,4,4,25033,0.39939280150201734,0.7295577473751194,0.1391552372860784,0.2337291677284542,0.5049047810342239,0.5407724780731239,0.5198990680878084,0.3699439072342386,0.6005234343580163,0.39939280150201734,0.3268316401825736,0.6666666666666666
2,789,4,4,25033,0.5122038908640595,0.7210193722158914,0.4223813569607962,0.5327006237801845,0.5967349803634536,0.5510818577594412,0.5537973412507079,0.5112636187628727,0.6048674578488613,0.5122038908640595,0.5180484783782668,0.0
2,1024,4,4,25033,0.5800343546518596,0.6515574978403375,0.7781284136424323,0.7092402577647482,0.508034413027121,0.484351778430815,0.48830441722448914,0.47669935815838244,0.5372727593312921,0.5800343546518596,0.5502990684440549,0.8
2,2048,4,4,25033,0.5294211640634363,0.6710852148579752,0.5591698021604564,0.6100370762711864,0.5186788413277814,0.5142119872396573,0.5156456842479664,0.5084126362320782,0.563862711580325,0.5294211640634363,0.5405769968133052,1.0
2,3072,4,4,25033,0.47780929173490994,0.7563986750978621,0.3048913703119311,0.43460207612456747,0.6242519310411508,0.5667970211985423,0.5578811030402437,0.4747418456032917,0.6268063650184724,0.47780929173490994,0.4620375195704578,0.0
2,4096,4,4,25033,0.6094754923500979,0.6614628505348367,0.8331108144192256,0.7374301675977654,0.5572555625413166,0.5093946643419685,0.505918352855434,0.48785175202390996,0.5575245824183515,0.6094754923500979,0.5668438738867173,1.0
2,5120,4,4,25033,0.6242959293732273,0.6527579802168373,0.9171015899987862,0.7626737994902723,0.4838950384158139,0.4634671941466758,0.48870859745409795,0.4307763938526383,0.5233781476094604,0.6242959293732273,0.5358226585778799,0.8
2,6144,4,4,25033,0.42495905404865575,0.5832733669145279,0.44271149411336325,0.5033638088666552,0.3825739882778724,0.4250791231826352,0.41673856412272486,0.41026071948005216,0.475147952052039,0.42495905404865575,0.43972805368730083,0.4
4,42,8,8,25025,0.6543056943056943,0.6576518479706581,0.9904698312492413,0.7904565822938113,0.5789465231051898,0.462003494078787,0.49856785913999896,0.40173142862551375,0.5239464274608168,0.6543056943056943,0.524803132622074,0.6666666666666666
4,123,8,8,25025,0.43236763236763237,0.6757552285050349,0.2647808668204443,0.38047886955384014,0.4940157028250908,0.5117602206068523,0.5100070864332604,0.4283574982701541,0.5636815971334178,0.43236763236763237,0.4131989617938562,0.6666666666666666
4,456,8,8,25025,0.4354045954045954,0.7278026034583253,0.2273886123588685,0.34651496230516626,0.5174458536968493,0.5437483688385297,0.5317740629330303,0.42476122732726396,0.6020205646783955,0.4354045954045954,0.3999881940497383,0.5714285714285714
4,789,8,8,25025,0.4758841158841159,0.709875,0.3447250212455991,0.4640843343956852,0.5596108166290519,0.5379037261380324,0.5366473895843245,0.4756299057026909,0.5923504155609443,0.4758841158841159,0.47197453861116617,0.5714285714285714
4,1024,8,8,25025,0.6032367632367632,0.6647369745784042,0.8015661041641374,0.726767384903272,0.5423534569741993,0.5156049213977292,0.5113549150220758,0.5013021520825892,0.5628206359771694,0.6032367632367632,0.572685210609593,0.8888888888888888
4,2048,8,8,25025,0.517962037962038,0.6834095634095634,0.4988466674760228,0.5767219902452717,0.5243670840293279,0.5241663201663201,0.5268177905266911,0.5084899914569126,0.5745832718632718,0.517962037962038,0.530092474030346,0.75
4,3072,8,8,25025,0.5111688311688312,0.7413224081028793,0.3954109505888066,0.5157357190926725,0.609762008684739,0.5639731882859513,0.5647970435320363,0.5111253527893069,0.6201225536649532,0.5111688311688312,0.5125850104205382,0.6666666666666666
4,4096,8,8,25025,0.6363636363636364,0.655858978694623,0.9417870583950467,0.7732369798155994,0.5427877358037181,0.4776738282808396,0.49486733343094635,0.42794913506909,0.5340878521261305,0.6363636363636364,0.5372684395217011,0.6
4,5120,8,8,25025,0.6278921078921079,0.6796067810211656,0.8225081947310914,0.7442601340217511,0.5577384339600089,0.5524041375127452,0.537730532870165,0.5307310348947295,0.592676926504442,0.6278921078921079,0.5983350729520079,0.7272727272727273
4,6144,8,8,25025,0.4280919080919081,0.5847710163111669,0.4526526648051475,0.5102990487921714,0.3836513622206658,0.4250344122540109,0.4167134216319036,0.4115075728017714,0.47560756366039836,0.4280919080919081,0.44278528965579494,0.7272727272727273
8,42,16,16,25009,0.6524051341517054,0.6674565901159033,0.9407870763998543,0.7808947700063011,0.5907558563100431,0.5628949617246183,0.5186786839332761,0.47021147665934315,0.5960207077258238,0.6524051341517054,0.5686377925131537,0.6956521739130435
8,123,16,16,25009,0.3979367427726019,0.6487856388595565,0.18656625774322846,0.2897976510541956,0.4480222328669085,0.49402280222771283,0.4959216149612113,0.3835981671570572,0.5430290859297077,0.39789675716741973,0.35385604884461247,0.5
8,456,16,16,25009,0.5275300891678996,0.745253164556962,0.42906595408721,0.5445926154320512,0.6049074850430127,0.5699609854487575,0.5732195524078298,0.52690455373076,0.6255031030745851,0.5275700747730817,0.5325260070551895,0.4
8,789,16,16,25009,0.5266903914590747,0.717671400357378,0.4634398153771408,0.5631942138086277,0.5761689789902452,0.5515527285593234,0.556020504668554,0.5233615817941433,0.6041801121674639,0.5266903914590747,0.5359807966148382,0.5
8,1024,16,16,25009,0.6348514534767483,0.6567094017094017,0.9332564071419895,0.7709326242913761,0.5305213432965966,0.4868382309976468,0.4964772027516105,0.4357027187650734,0.5406544285884834,0.6348514534767483,0.5419055474061585,0.6956521739130435
8,2048,16,16,25009,0.5604782278379783,0.707505686125853,0.5667435928580105,0.6293498786080388,0.5709760629769858,0.551950660137129,0.5575728967450535,0.5447603925993735,0.6012314179006806,0.5604782278379783,0.571558845062353,0.5
8,3072,16,16,25009,0.44743892198808427,0.7489185630994922,0.24183165310336452,0.36560620667493,0.5750916630282209,0.557477766213569,0.5427816816377176,0.43808909589988754,0.6181273497125962,0.44743892198808427,0.4151260853305189,0.7692307692307693
8,4096,16,16,25009,0.5992242792594666,0.6901599669441001,0.7100692335722094,0.69997305953842,0.5864635933601821,0.5492197950734382,0.5478240350232579,0.5482888595506801,0.5938704800960802,0.5992242792594666,0.5963433166062547,0.5555555555555556
8,5120,16,16,25009,0.625814706705586,0.6738407356681667,0.8366330620672902,0.7464643727986996,0.558973407495685,0.5423402637074437,0.5280858642112843,0.5163024971965408,0.5840054496418394,0.6258546923107681,0.5892299078745801,0.7272727272727273
8,6144,16,16,25009,0.4501579431404694,0.597542573830567,0.505040689906474,0.5474113813645789,0.386839870903219,0.43138939005267984,0.424708101010828,0.4235401699285334,0.4840277072613727,0.4501579431404694,0.46278330672759727,0.6
16,42,32,32,24977,0.6667734315570325,0.7170789037875955,0.8159878419452887,0.763342716597003,0.6215790856364354,0.6166890204460509,0.5974509398538452,0.6002036545446969,0.6485338795450243,0.6667734315570325,0.6519532957602321,0.7027027027027027
16,123,32,32,24977,0.43500020018416946,0.6647406989853438,0.28674772036474167,0.40066253291429543,0.4691405202070448,0.5042846719578584,0.5038757952122759,0.4331395063844425,0.5551832227101012,0.43500020018416946,0.4228374260383651,0.4
16,456,32,32,24977,0.5604356007526925,0.7338633837736172,0.5218237082066869,0.6099406686325364,0.6019951036988532,0.5707720533325917,0.578374033064291,0.553239238796481,0.6225065535161303,0.5604356007526925,0.5712256033955548,0.4444444444444444
16,789,32,32,24977,0.5481042559154422,0.7118588428395568,0.5272948328267477,0.6058320237471626,0.5772818613358675,0.5519894589432306,0.5577719619745325,0.5381990926935072,0.6027019195514138,0.5481042559154422,0.5596530588518973,0.4666666666666667
16,1024,32,32,24977,0.6336229330984505,0.6590265371040133,0.9193920972644377,0.7677352217061346,0.541949587632063,0.5025901916289297,0.5008594120660174,0.45037637447220513,0.5522136518202693,0.6336229330984505,0.5510463567212512,0.6511627906976745
16,2048,32,32,24977,0.6284581815270048,0.7254716981132076,0.7012158054711246,0.7131375579598145,0.6334179860646478,0.5919966180331379,0.5946562198459177,0.592992319084429,0.6343364930971725,0.6284581815270048,0.6311038107611587,0.8
16,3072,32,32,24977,0.5502262081114625,0.7257226934395015,0.509726443768997,0.5988430224253678,0.581490124521322,0.5624441523518747,0.569041713733918,0.5435217390031167,0.6142380379681323,0.5502262081114625,0.5610703048258534,0.5185185185185185
16,4096,32,32,24977,0.6615286063178124,0.7258246723904203,0.7811550151975684,0.7524740879545587,0.6505174052883332,0.6153791593927427,0.6059218046163394,0.6086724223695508,0.6504088704055376,0.6614885694839252,0.6542764255939609,0.717948717948718
16,5120,32,32,24977,0.6286583656964407,0.673939393939394,0.8449848024316109,0.7498314227916386,0.5603127629988489,0.5440009469696969,0.5281567614831914,0.5148334068690703,0.5852189601554643,0.6286583656964407,0.5893775586949305,0.6829268292682927
16,6144,32,32,24977,0.5356528005765304,0.6316617822641919,0.7075379939209726,0.6674503956875788,0.4140715224979976,0.44863504316995273,0.45579784649725186,0.4491251182576374,0.5066932909116213,0.5356528005765304,0.5183804801136419,0.55
100,42,200,200,24641,0.6746073617142161,0.767651250161938,0.7278589853826312,0.7472257250945775,0.7071052248620986,0.6430889087928021,0.6493703348973211,0.6453359009256056,0.6831403446382492,0.6746073617142161,0.6780972773669336,0.7441860465116279
100,123,200,200,24641,0.70975203928412,0.7637508666512596,0.8118781476477092,0.7870794879428401,0.719626951519721,0.6730250310346166,0.6613524007768394,0.6656529226611982,0.7021967690156506,0.70975203928412,0.7046960896076067,0.7022222222222222
