n_shot,num_runs,accuracy,precision,recall,f1_binary,roc_auc,f1_macro,f1_weighted
2,10,0.5111 ± 0.0458,0.4568 ± 0.1777,0.5735 ± 0.4258,0.4554 ± 0.2945,0.4940 ± 0.0421,0.3636 ± 0.0431,0.3736 ± 0.0570
4,10,0.5084 ± 0.0431,0.5360 ± 0.0365,0.5503 ± 0.3749,0.4687 ± 0.2490,0.4994 ± 0.0370,0.3930 ± 0.0558,0.4017 ± 0.0609
8,10,0.5245 ± 0.0245,0.5554 ± 0.0272,0.6808 ± 0.2042,0.5962 ± 0.1019,0.5179 ± 0.0351,0.4524 ± 0.0539,0.4664 ± 0.0441
16,10,0.5343 ± 0.0153,0.5537 ± 0.0137,0.7387 ± 0.1355,0.6324 ± 0.0401,0.5162 ± 0.0240,0.4719 ± 0.0448,0.4853 ± 0.0374
100,10,0.6078 ± 0.0323,0.6181 ± 0.0459,0.7968 ± 0.0998,0.6892 ± 0.0136,0.6590 ± 0.0474,0.5639 ± 0.0733,0.5755 ± 0.0651
